cleaned_tweet,sentiment,Unnamed: 2,Unnamed: 3,Unnamed: 4,vader_score
elon musk would focus tesla twitter ! ! ! ! : person_facepalming : :unamused_face :,negative,,,,0.0
"pre 2015 yes . pre 2015 chinese people n't want buy chinese car , chinese home appliance , 2022 even apple tesla rely chinese supply chain ? . google apple 's supplier list see many chinese supplier .",negative,,,,0.3565
board seriously move strip control company . ’ dangerous,negative,,,,-0.5859
assisting # westworld design vtal ? look like something would design tesla seat ?,neutral,,,,0.4329
like retweets tesla car ?,neutral,,,,0.3612
trump call elon musk ‘ b artist ’ say tesla ceo lied voting 2016,negative,,,,-0.3818
move ! ! move !,negative,,,,0.0
"lol produced delivered 70k , epa green . $ lcid coming next 2 year . damn , wish edit button.50k already sold ksa year 2025. achievable goal target .",positive,,,,0.6249
"speaking no-am-radio-in-a-tesla , radio general , especially , people radar anymore . kind like apple phasing dvd drive headphone jack .",positive,,,,0.7096
"tesla screw customer n't enough supercharger station yet tesla make accessible ev owner , tesla owner .",negative,,,,-0.1027
thousand tesla powerwalls back grid virtual power plant experiment - green car report,neutral,,,,0.0
"mean might get squeeze end tesla elon far 'm concerned . continued reckless disregard law , sec , merger lead uphill battle going forward elon .",negative,,,,-0.7506
"individual , tesla .",neutral,,,,0.0
stop b . got sell tesla stock . figure another way sell tesla stock crash 100,negative,,,,-0.5994
twitter hire legal firm sue elon musk pulling $ 44b deal read : # twitterdeal # oped # opedmoped,neutral,,,,0.128
someone say tesla ? : eye : proud moment : star-struck : villa richmond !,positive,,,,0.5255
tesla,neutral,,,,0.0
3 company delivered less 30k ev ’ last couple year . tesla well million ’ hard compare way . either way tesla seems great forerunner ev ’ ’ easy nut crack .,positive,,,,0.8271
: face_with_tears_of_joy : ’ expert tesla bot ? : grinning_squinting_face :,positive,,,,0.0
make tesla motor home & amp ; tesla camper van like vw camper van want one stove fridge tv internet service self diving surfboard rack included ! ! !,positive,,,,0.6093
n't anything left scrape .... unless max bond tesla time . grrrr goodbye apple 'll damned n't try : loudly_crying_face : :sparkles :,negative,,,,-0.5517
"think ’ considered following year delivery august year , ’ good !",neutral,,,,0.4926
: rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : :rolling_on_the_floor_laughing : # tesla # cybertruck forever vapor . $ tslaq,positive,,,,0.0
"tesla roadster perfect combination classic sporty . look ext bonus , ca n't wait ride one : smiling_face_with_heart-eyes :",positive,,,,0.802
still go ... even without tesla ... 's actually great may help decide one get .,positive,,,,0.7783
noticed every tesla road .,neutral,,,,0.0
tribute tesla ’ birthday,neutral,,,,0.0
comparing old model giga texas model ; structural battery pack cover,negative,,,,0.0
feeling employer force commute # tesla ...,negative,,,,0.128
"world belongs tesla owner user renter , see ’ top soon # tsla",neutral,,,,0.2023
get tesla 's easy,positive,,,,0.4404
see faith elon . lawyer win case . twitter contract hence force deal settlement reached . tesla shareholder relieved elon childish behaviour come crush,positive,,,,0.7783
"elon musk twitter deal company file case refusal tesla spacex ceo . musk may deal twitter , company file case",neutral,,,,0.0
elon musk allegedly made admission hang dire threat tesla empire via,negative,,,,-0.7506
"yes , one employee tesla responsible work accomplished . also think steve job created every iphone bare hand . jack dorsey personally ban every bot platform .",positive,,,,0.8176
’ still waiting mine x plaid : face_with_tears_of_joy : :face_with_tears_of_joy : :face_with_tears_of_joy : ’ ’ coming : face_with_tears_of_joy : :face_with_tears_of_joy : :face_with_tears_of_joy :,positive,,,,0.0
day one asking tesla till get one,neutral,,,,0.0
"yo , baby number 6 arrived weekend . large capacity family tesla future ?",positive,,,,0.0772
's `` 's doc '',negative,,,,0.0
welcome !,positive,,,,0.5093
"next project , develop tesla gym could produce electricity : man_tipping_hand_medium-light_skin_tone :",neutral,,,,0.0
